,Job Title,Job Location,Date,Link,Job Attributes,Job Description
14,Coordinator of Male True Mentoring,Lynn,Feb 20,https://boston.craigslist.org/gbs/npo/d/lynn-coordinator-of-male-true-mentoring/7079024341.html,"
compensation: This position offers competitive pay and benefits

employment type: full-time

","

QR Code Link to This Post


The Coordinator of Mentoring will be responsible for the coordination of all facets of Centerboard's TRUE Mentoring program serving at risk youth who meet the standard qualification of the mentoring program. The Coordinator will be responsible for recruiting and training Male Mentors while overseeing the overall functions of the program.

Job Functions:
• Recruit volunteer mentors reflective of our mentee population Screen all potential mentor candidates through background checks and interviews
• Oversee specialized mentor training and handbook development
• Oversee mentor/mentee matching process through coordination with referral sources and/or mentee's guardian. • Supervise ongoing mentor/mentee relationship, including management of reporting and providing mentor support
• Address any concerns about mentor conduct or conflict
• Plan and execute quarterly mentor continuing education and support meetings
• Oversee coordinated monthly outings and celebrations
• Maintain and expand relationships with referring agencies
• Maintain and report program successes in database.
• Implement and execute program evaluations
• Participate in team meetings with mentor, mentee, and referring agency staff
• Coordinate referrals to external resources for additional support (i.e. ongoing therapy) not provided internally
• Collaborate with Program Manager of the Family Resource Center and other staff to identify resources for the needs of the youth in the program
• Track youth monthly involvement
Collaborate with the Administrative Manager to ensure administrative needs of services are met
•Work with mentors and staff to implement best practices, standards of operation and protocols

Education and Experience:
Bachelor's degree or commensurate experience • 3 year minimum social work case management or equivalent experience • Experience working with youth in a mentoring capacity • Experience working with social services, juvenile services, domestic violence or a related field of work • Experience managing volunteers in a social service setting • Experience developing and implementing training programs • Superior communication and leadership skills • Ability to evaluate programs and curriculums and implement necessary changes across systems • Strong administrative skills • Experience having worked with a high-performance, collaborative, constructive peer group • Ability to manage self-care

Skills, Knowledge and Abilities:
Ability to make decisions and appropriate interventions.
Ability to build rapport with mentors and mentees.
Understand when to seek assistance and supervision.
Maintain certifications as required by agency Policy and Procedures, including but not exclusive to: First Aid, CPR, Human Rights and Fire Safety. Maintain a valid driver's license.
Apply a high work standard; establish criteria to achieve a high level of service delivery.
Commitment to Centerboard and T.R.U.E. mission, vision, values.
Ability to communicate clearly and concisely, both orally and in writing.

Work Environment:
Functions for this position are performed in a office setting as well as in the community. Frequent standing, sitting, walking and use of a computer is required.

Interested and qualified applicants should apply through our website online application process by using the link below. Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
15,Coordinator of Male True Mentoring,Lynn,Feb 20,https://boston.craigslist.org/nos/npo/d/lynn-coordinator-of-male-true-mentoring/7079011903.html,"
compensation: This position offers competitve pay and benefits

employment type: full-time

non-profit organization

","

QR Code Link to This Post


The Coordinator of Mentoring will be responsible for the coordination of all facets of Centerboard's TRUE Mentoring program serving at risk youth who meet the standard qualification of the mentoring program. The Coordinator will be responsible for recruiting and training Male Mentors while overseeing the overall functions of the program.

Job Functions:
• Recruit volunteer mentors reflective of our mentee population Screen all potential mentor candidates through background checks and interviews
• Oversee specialized mentor training and handbook development
• Oversee mentor/mentee matching process through coordination with referral sources and/or mentee's guardian. • Supervise ongoing mentor/mentee relationship, including management of reporting and providing mentor support
• Address any concerns about mentor conduct or conflict
• Plan and execute quarterly mentor continuing education and support meetings
• Oversee coordinated monthly outings and celebrations
• Maintain and expand relationships with referring agencies
• Maintain and report program successes in database.
• Implement and execute program evaluations
• Participate in team meetings with mentor, mentee, and referring agency staff
• Coordinate referrals to external resources for additional support (i.e. ongoing therapy) not provided internally
• Collaborate with Program Manager of the Family Resource Center and other staff to identify resources for the needs of the youth in the program
• Track youth monthly involvement
Collaborate with the Administrative Manager to ensure administrative needs of services are met
•Work with mentors and staff to implement best practices, standards of operation and protocols

Education and Experience:
Bachelor's degree or commensurate experience • 3 year minimum social work case management or equivalent experience • Experience working with youth in a mentoring capacity • Experience working with social services, juvenile services, domestic violence or a related field of work • Experience managing volunteers in a social service setting • Experience developing and implementing training programs • Superior communication and leadership skills • Ability to evaluate programs and curriculums and implement necessary changes across systems • Strong administrative skills • Experience having worked with a high-performance, collaborative, constructive peer group • Ability to manage self-care

Skills, Knowledge and Abilities:
Ability to make decisions and appropriate interventions.
Ability to build rapport with mentors and mentees.
Understand when to seek assistance and supervision.
Maintain certifications as required by agency Policy and Procedures, including but not exclusive to: First Aid, CPR, Human Rights and Fire Safety. Maintain a valid driver's license.
Apply a high work standard; establish criteria to achieve a high level of service delivery.
Commitment to Centerboard and T.R.U.E. mission, vision, values.
Ability to communicate clearly and concisely, both orally and in writing.

Work Environment:
Functions for this position are performed in a office setting as well as in the community. Frequent standing, sitting, walking and use of a computer is required.

Interested and qualified applicants should apply through our website online application process by using the link below. Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
16,"Housing Placement Specialist, 40 hours; Monday – Friday 11:00 a.m. - 7",N/A,Feb 20,https://boston.craigslist.org/gbs/npo/d/boston-housing-placement-specialist-40/7079011662.html,"
compensation: $19/HR  - DOE

employment type: full-time

non-profit organization

","

QR Code Link to This Post


SCHEDULE: 40 hours; Monday – Friday 11:00 a.m. - 7:30 p.m., with availability for early mornings, nights & weekends 



JOB DESCRIPTION:

The Housing Placement Specialist (HPS) will partner with shelter guests to reduce barriers to housing and housing supports utilizing actionable decisions and individual housing plans that will rapidly lead to safe, affordable housing with the supports necessary to sustain achieved housing. The Housing Placement Specialists will work within a team of Housing Placement Specialist as well as the Housing Placement Navigator and the Housing Benefits Navigator to ensure that we develop and execute sustainable and expeditious housing plans. The HPS and her/his team will work under tight timeframes for accurately entering guest information into the Pine Street Inn’s approved Homeless Management Information System (HMIS). Attention to detail and accuracy is critical in this position, The Housing Placement Specialist will provide exceptional customer service both internally and externally and will work in partnership with other emergency services and housing department staff to provide integrated service delivery, which furthers our mission to eliminate homelessness. Under the discretion of the PMH Director and the PMH supervisor, the HPS will work with the Mobile Enrollments and Benefits Specialist and the PMH Clinician to identify clients who are receiving pre-tenancy support services to be enrolled in Community Support for People Experiencing Chronic Homelessness (CSPECH) Program. 


REQUIREMENTS: 
• BSW, BA or BS in a human services related field [can be substituted for High School Diploma and at least three (3) years of equivalent experience in a social service setting]
• Certification, training, or formal education in counseling and/or case management
• Valid Massachusetts Driver’s License A minimum of two (2) years of experience delivering services to a challenged population often struggling with addiction and untreated or under-treated mental health concerns
• Strong computer and math skills - including familiarity with MS Word and Excel Experience 
• Practical experience in working collaboratively with homeless individuals creating housing plans and individual service plans
• Experience with helping individuals with budgeting
• Experience accessing housing opportunities and subsidy programs for homeless individuals
• Knowledge of the issues related to homelessness and housing
• Experience navigating systems of housing and care for homeless individuals
• Knowledge and experience utilizing Motivational Interviewing, Trauma-Informed Care, Harm Reduction, Housing First, and Change Theory in practice
•  Ability to stand for moderate periods of time, stretch, bend, lift and assist guests up and down stairs during difficult and/or emergency situations. 
• Ability to respond safely and quickly in case of emergency situations
• Ability to sit for moderate periods of time at a desk in an office while interacting with clients and/or managing documentation and completing data entry
• Must be able to drive a PSI vehicle for work use
•   Excellent writing, documentation, math and computer skills 
• Ability to assess clients and make appropriate referrals
• Ability to establish good working relationships with internal and external program staff
• Strong decision-making and communication skills
• Exceptional customer service
• Ability to perform an array of difficult tasks at the same time
• Patience in working with guests with untreated emotional and/or physical health needs and active substance use/abuse/dependency behaviors
• Ability to work in intense emotionally charged situations
• Ability to help provide critical incident de-briefing



To apply for this position, please click the link below:
https://pinestreetinn.preview.clearcompany.com/careers/jobs/a85564ca-b0d4-7bc3-20c3-cd208ce7634a/apply?source=1091388-CS-16007


"
17,Awake Overnights-Teen Living/Parenting-Melrose,Melrose,Feb 20,https://boston.craigslist.org/nos/npo/d/melrose-awake-overnights-teen-living/7078989698.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
18,Patton Park Summer Camp Director,"Hamilton, MA",Feb 20,https://boston.craigslist.org/nos/npo/d/hamilton-patton-park-summer-camp/7078873864.html,"
compensation: $20 -$23/hr

employment type: full-time

","

QR Code Link to This Post



Patton Park Summer Program Director

The Hamilton Wenham Recreation Department is now accepting applicants for the seasonal position of Patton Park Program Director for the summer of 2019.  The program will run from June 29th until August 21st.  Pre and post season responsibilities are included

General Function

Under the supervision of the Recreation Director, the Program Director is responsible for the daily operation and general programming of the Patton Park Summer Program.

Supervision Provided

The Program Director is responsible for the overall supervision of all staff, children, and Counselors in Training.

Example of Duties


   •	In cooperation with the Recreation Director and the Pool Director the Program Director is responsible for 
        the:

		Daily programming and scheduling of activities
		Field trips/Transportation
		Special Events
		Pool Activities (in conjunction with the Pool director)
		Maintaining general records and reports


         •	Plans, administers, or delegates all duties to staff 
         •	In conjunction with the Recreation Director, the Program Director will plan and oversee an appropriate 
                orientation program for the staff.
         •	Assigns, supervises, and evaluates all park staff.  Makes a written report to the Recreation Director.
         •	Responsible for conducting weekly staff meetings
         •	Must be able to deal with disciplinary issues amongst parksters and staff properly, and keep proper 
                records of each incident.
         •	Acts as a liaison between counselors and parents.  Notifies Recreation Director of any dialogue between 
                self, counselors or parents.
         •	Must be able to perform the duties of the Health Supervisor.
         •	Performs additional duties as assigned by the Recreation Director.


QUALIFICATIONS:

         •	Bachelors Degree in a related field or equivalent experience
         •	Ability to plan, organize, implement, and delegate the necessary responsibilities surrounding any activity 
                or event.
         •	Ability to motivate both children and young adults.
         •	Ability to speak clearly and concisely before groups.
         •	Ability to communicate effectively with parksters and parents.
         •	Ability to keep concise records and make written reports.
         •	Must be or willing to be certified in First Aid and CPR.

SALARY

$20-$23/hr    "
19,Disability Resource Specialist,Salem,Feb 19,https://boston.craigslist.org/nos/npo/d/salem-disability-resource-specialist/7078531186.html,"
compensation: Starting range $19.00 to $20.00 per hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


The Disability Resource Center is a service and advocacy organization dedicated to supporting people living with disabilities to live as independently as they choose, as well as advocating for an inclusive and accessible community for all.

We are currently seeking a talented and dedicated Disability Resource Specialist to join our team.

People living with a disability highly encouraged to apply.

As a Disability Resource Specialist you will:

•	Engage in community and legislative advocacy to improve community accessibility and inclusion.
•	Connect people living with disabilities to community resources and assistance programs that support their 
        living successfully in the community.
•	Provide peer counseling and independent living skills development services to people living with disabilities.
•	Provide resources and supports to people living in Nursing Homes who want to return to the community.

This position required fieldwork in the community, and so applicants must have their own reliable transportation.

Qualifications:

•	Bachelor Degree in Human Services, a related field, or equivalent life experience.
•	Excellent interpersonal, verbal and written communication skills.
•	Computer literate in Microsoft Office word processing and email applications.
•	Bi-lingual English/Spanish is a plus.
•	Must be committed to Independent Living Philosophy.

This is a full-time (35 hour), benefited position.

DRC offers competitive benefits, 401K, generous PTO, free Short and Long-Term disability insurance, and limited tuition reimbursement.
"
20,MAP Supervisor/Medical Care Coordinator,"Waltham, MA",Feb 19,https://boston.craigslist.org/bmw/npo/d/waltham-map-supervisor-medical-care/7078449190.html,"
compensation: Competitive, depends on experience

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Waltham House is the first residential group home designed specifically for LGBTQ youth in New England, and one of only three of its kind in the nation. Its founding principles are that every child deserves to live in an environment in which they feel safe, respected, supported and cared for by those around them.

The group home provides a safe and supportive living environment with 24-hour staffing for up to 12 gay, lesbian, bisexual, and/or transgender youth ages 14–18. Many youth at Waltham House have experienced difficulty — at home or in placement — due to their gender expression or sexuality identities.

How You Will Be Making a Difference

Supervise all medication related and medical/psychiatry appointment related aspects of the program
Participate in training new staff on MAP procedures and communicate/coordinate the MAP certification process
Provide staff refresher trainings as needed
Collaborate closely with the program nurse
Responsible for preparing for and managing the yearly MAP audits
Communicate with collaterals regarding medical/psychiatric care for specific client(s) and/or advocate as needed
Cultivate relationships between the program and providers to help assure the best care for our youth
Monitor appointment dates for all youth and assure all care is conducted when required (i.e., annual physicals, bi-annual dentist, etc.)
Participate in maintaining organization of medication room in collaboration with staff
Attend monthly staff meetings
Provide support in the milieu when needed
Collaborate with program nurse/agency nutritionist regarding psycho-ed groups for youth
Transport youth to medical/psychiatric appointments as needed
Maintain updated medical paperwork for all youth

Qualifications

Equivalent to Bachelor’s degree
At least 1 years direct child-care experience in a residential setting with emotionally disturbed children
Familiarity/comfort with providing medical support care
LGBTQIA+ competency related to medical care
Computer literate, including Microsoft Office and Internet Explorer, with the ability to learn new software applications

What The Home Can Offer You

In addition to the chance to make a lasting impact on the lives of the youth of Massachusetts, The Home for Little Wanderers offers competitive salaries and a comprehensive benefits package including:

Extensive training to new staff
Tuition Reimbursement
Health and Dental Insurance if eligible
403(b) Retirement Plan with employer match
Long-term Disability and Short-term Disability Insurance
Life Insurance
Generous Paid Time Off
Professional Development opportunities



TO APPLY PLEASE CLICK HERE"
21,Summer Jobs! ♻Protect Our Environment♻ Apply Today! Avg $6-$8k/Summer,Downtown Crossing,Feb 19,https://boston.craigslist.org/gbs/npo/d/boston-summer-jobs-protect-our/7078289209.html,"
compensation: Average $6,000-$8,000 for the summer

employment type: full-time

non-profit organization

","

QR Code Link to This Post











"
22,Relief Residential Specialist,Brighton/Newton/Needham,Feb 19,https://boston.craigslist.org/gbs/npo/d/brighton-relief-residential-specialist/7078281517.html,"
compensation: Multiple positions available!

employment type: part-time

","

QR Code Link to This Post




CNAs & PCAs STRONGLY ENCOURAGED TO APPLY!

Position Summary:
JF&CS is looking for Relief Residential Specialists who have experience in the field of human services. Per-diem Residential Specialists provide assistance and support to clients at home and in the community. Successful candidates must have strong time management skills, be flexible and creative, and must be willing to support clients in a wide range of tasks and activities. Experience with physical transfers is a must.  This is a relief position. Our headquarters is in Waltham, and our programs are located in Newton and Brighton. Applicants must have weekend availability.


 Your workday will include: 
•	Support clients to complete their activities of daily living
•	Work directly with individual to develop and achieve meaningful life goals
•	Document information and assist in tracking data with logs and reports
•	Maintain professional communication with other program staff
•	Provide support and direct care to clients, and help to maintain a safe and clean living/working environment
•	Transporting clients to activities and appointments

 What Can You Bring to This Position? 
•	High school diploma or equivalency and experience working with individuals with disabilities, preferably in a residential setting 
•	Must have valid driver's license and reliable transportation 
•	First Aid/CPR/MAP certifications preferred, ability to pass First Aid/CPR/MAP required 
•	Ability to lift 50lbs
•	Experience with physical transfers
•	Strong interpersonal communication skills, both oral and written 

 Our Commitment to Diversity, Equity, and Inclusion 
We acknowledge and respect the fundamental value and dignity of all individuals and are committed to creating and maintaining an environment that is welcoming of all and celebrates the uniqueness of those we serve, staff, volunteers, donors, and business partners.



Jewish Family & Children's Service cares for individuals and families by providing exceptional human service and health care programs, guided by Jewish traditions of social responsibility, compassion, and respect for all members of the community.

JF&CS believes in developing talent and offers extensive opportunities for promotion for highly qualified employees. JF&CS offers an excellent work environment with competitive salary and a benefit package including generous paid time off, health and dental insurance, 403(b) retirement plan, and employee referral bonuses.  

We regret that we cannot take phone calls regarding this position. JF&CS is an Equal Opportunity Employer. 


keywords: education, SPED, special education, learning disabilities, LD, ED, BD,  entry level, special needs, moderate, severe, behavior, ABA, behavioral, specialist, supervisor, advocate, paraprofessional, teaching, teacher assistant, aid, aide, metro west, Boston, student, employment, summer job, MAP Certified, educator, educate, social work, psychology,  sociology, BSW, MSW, graduate, therapist, therapy, training, assist, practicum, DMH, DMR.,  mental health, family, families, human service, nonprofit, non-profit, private, non profit, not for profit, counselor, counseling, residential, milieu, mileu, group, supervisory, program manager, medical, disorder, delay, MR, mental retardation, Personal Care, ADLs, activities of daily living, ISPs, individualized support plans, treatment plans, treatment, group living, supportive living, community living, independent living, support services, case management, dual diagnoses, recreational, recreation, LICSW, LCSW, LMHC, MSW, MA, MS, direct service professional, counselor, residential counselor, social worker, habilitation specialist, direct care counselor, human services, social services, social work, direct care, sociology, psychology, philosophy, peace studies, urban affairs, health sciences, health services, liberal arts, developmental disabilities, mental health, behavioral health, autism, behavioral, developmental, disability, metal illness, therapy Social Worker, masters level clinician, Brighton, Newton, Westin, Waltham, Allston, Cambridge, Lincoln, Belmont, Lexington, Watertown

"
23,Contract Manager -,N/A,Feb 19,https://boston.craigslist.org/gbs/npo/d/boston-contract-manager/7078240198.html,"
compensation: DOE

","

QR Code Link to This Post


Community Resources for JusticeID 2019-4237Type full-timeJob Locations US-MA-BostonCity BostonState  MAOverview At Community Resources For Justice we change lives and strengthen communities by advancing policy and delivering individualized services that promote safety, justice, and inclusion.CRJ believes that society gains when all people receive the support and tools they need to lead responsible, productive, and dignified lives. For 140 years, some of society's most overlooked citizens have benefited from the programs we provide. Our work is divided into three divisions, each with a distinct practice area and population served:

Social Justice Services serves men and women transitioning out of prison and back into the community through a network of six residential reentry centers operated under contracts with federal, state, and county agencies. The division also runs a residential program for young adults with complex clinical needs.
Community Strategies supports adults with developmental or intellectual disabilities to live as independently as possible through a range of community-based residential options offering structure in a caring, home-like environment, as well as day programs.
The Crime and Justice Institute is a national-scale consulting practice that works with elected officials, justice system practitioners, policy makers, and thought leaders to effect significant reforms to promote safety and justice.

Responsibilities The Contracts Manager will be responsible for the oversight of our Massachusetts Social Justice Services reentry programs including supervision of Program Directors, day to day functions, and coordination with internal and external departments and agencies.Critical Functional Responsibilities:

Supervises MA reentry contract Program Directors and assists with the daily functioning of program operations.
Acts as liaison with internal CRJ departments – IT, Fiscal, Facilities, HR, SQA – to ensure that programs receive appropriate support services, and that programs provide appropriate information as required.
Assists Director of Innovation, Implementation, and Development to collaborate with external funding and referral agencies, including compliance with contractual obligations, participation in scheduled meetings and monitoring visits, and in-reach and out-reach educational activities.
Oversees and assists Program Directors to achieve compliance with contractual obligations, licensing requirements, audits/monitoring visits, budget preparation, and as needed with hiring, training and termination of staff.
Oversees and reviews internal and external data and reports, including those submitted by Program Directors to meet contractual and CRJ requirements.
Assists with the facilitation of division trainings, bimonthly Division meetings, Operation Integrate committees, and program Advisory Board activities.
Develops and maintains community, governmental, public and private resources and relationships, and actively participates in professional committees and organizations.
Assists Director of Innovation, Implementation, and Development with development efforts and growth opportunities, including budget and proposal preparation.
Performs other job related projects and activities as requested or directed.

Qualifications 

BA/BS in Criminal Justice/Human Services required, graduate degree preferred.
Extensive experience in a related field may substitute for education.
Minimum of three years relevant experience, with three years in a supervisory capacity

Apply HerePI118190528 "
24,"Elder Protective Services Investigator, 60k/year",Waltham,Feb 18,https://boston.craigslist.org/gbs/npo/d/waltham-elder-protective-services/7077901559.html,"
compensation: Pays $30.77/hr. ($60k annually) Salary

employment type: full-time

","

QR Code Link to This Post


Springwell is seeking a positive and energetic team member to join our Protective Services Department! 
Pays $30.77/hr. ($60k annually).
POSITION DESCRIPTION
As an Elder Protective Services Investigator you will investigate reports of abuse, neglect, financial exploitation, and self neglect of elders to determine if there is a reasonable cause to substantiate the report. You will respond to emergency and crisis situations, conduct assessment of capacity and functional abilities as well as arrange for the delivery of services to alleviate substantiated allegations.
You must be flexible as each day is different and one call can change all your plans. You must have excellent writing skills as there is a fair amount of documentation.  Organization is key if you're going to be successful and a good sense of humor never hurts.  
QUALIFICATIONS
Master's degree in Social Work or related field with one year experience in counseling or case management; or a Bachelor's degree in Social Work or related field with two years experience in counseling or case management.
Experience with crisis intervention, elders, and/or investigations.
Ability to independently organize work, take initiative, and meet deadlines.
A reliable car, current driver's license and safe driving record required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Ashland, Dover, Framingham, Holliston, Hopkinton, Natick, Sherborn, Sudbury, Wayland, Boston, Westwood, Case Manager, Case Management, Housing, Mental Health, Managed Care, Social Services, Social Work, Care Coordinator, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, LICSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Protective Services, PS, Crisis Intervention, Crisis, Investigator, Criminal Justice, Counseling, Abuse, Neglect
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1340475-143011.html "
25,Respite and Recreation Assistant Program Manager,Newton,Feb 18,https://boston.craigslist.org/gbs/npo/d/newton-respite-and-recreation-assistant/7077897582.html,"
compensation: This is a part-time position of 7-10 hours per session week, 20 scheduled Sundays a year, located at the Newton JCC. The hourly rate for this position is $20 per hour.

employment type: part-time

non-profit organization

","

QR Code Link to This Post




Position Summary:
JF&CS is seeking an enthusiastic Respite and Recreation Assistant Program Manager to join our CHAI Services Team. This role supports the Program Manager in overseeing Kids Connection Corner, a therapeutic respite and recreation program for children with Autism Spectrum Disorder; and HALO Sunday Swim & Sing, a respite and recreation program for children and young adults with neurological and physical disabilities and their families. The Assistant Program Manager will lead a team of program staff and volunteers to ensure the best possible experience for participants, while providing respite for their families.  This is a part-time position of 7-10 hours per session week, 20 scheduled Sundays a year, located at the Newton JCC. The hourly rate for this position is $20 per hour.

 Your workday will include: 
•	Providing high quality, compassionate and ethical care to all program participants.
•	Maintaining knowledge of participants' disabilities/diagnoses, learning styles, strengths and challenges.
•	Applying experience to manage session preparation including creating session plans and facilitating therapeutic activities with adaptations that accommodate the needs of each participant. 
•	Serving as the primary contact and face of the program for families and caregivers.
•	Other duties as assigned.

 What Can You Bring to This Position? 
•	A Bachelor's degree in education, human services or a related field preferred.  
•	At least two years of experience working with individuals with disabilities.
•	The ability to work scheduled Sundays.
•	Strong organizational, interpersonal, and training skills.
•	Management experience or willingness to learn management skills.
•	Excellent writing and communication skills.

 Our Commitment to Diversity, Equity, and Inclusion 
We acknowledge and respect the fundamental value and dignity of all individuals and are committed to creating and maintaining an environment that is welcoming of all and celebrates the uniqueness of those we serve, staff, volunteers, donors, and business partners.



Jewish Family & Children's Service cares for individuals and families by providing exceptional human service and health care programs, guided by Jewish traditions of social responsibility, compassion, and respect for all members of the community.

JF&CS believes in developing talent and offers extensive opportunities for promotion for highly qualified employees. JF&CS offers an excellent work environment with competitive salary and a benefit package including generous paid time off, health and dental insurance, 403(b) retirement plan, and employee referral bonuses.  

We regret that we cannot take phone calls regarding this position. JF&CS is an Equal Opportunity Employer. 


keywords: education, SPED, special education, learning disabilities, LD, ED, BD,  entry level, special needs, moderate, severe, behavior, ABA, behavioral, specialist, supervisor, advocate, paraprofessional, teaching, teacher assistant, aid, aide, metro west, Boston, student, employment, summer job, MAP Certified, educator, educate, social work, psychology,  sociology, BSW, MSW, graduate, therapist, therapy, training, assist, practicum, DMH, DMR.,  mental health, family, families, human service, nonprofit, non-profit, private, non profit, not for profit, counselor, counseling, residential, milieu, mileu, group, supervisory, program manager, medical, disorder, delay, MR, mental retardation, Personal Care, ADLs, activities of daily living, ISPs, individualized support plans, treatment plans, treatment, group living, supportive living, community living, independent living, support services, case management, dual diagnoses, recreational, recreation, LICSW, LCSW, LMHC, MSW, MA, MS, direct service professional, counselor, residential counselor, social worker, habilitation specialist, direct care counselor, human services, social services, social work, direct care, sociology, psychology, philosophy, peace studies, urban affairs, health sciences, health services, liberal arts, developmental disabilities, mental health, behavioral health, autism, behavioral, developmental, disability, metal illness, therapy Social Worker, masters level clinician, Brighton, Newton, Westin, Waltham, Allston, Cambridge, Lincoln, Belmont, Lexington, Watertown

"
