,Name,Link,Category,Description
34, Kumutu API,https://www.programmableweb.com/api/kumutu,Travel," The Kumutu API allows users to interact and ""sync"" with suppliers from your own web sites and applications. Kumutu gives adventure operators an exclusive opportunity to market, sell and distribute..."
35, CDYNE SMS Notify API,https://www.programmableweb.com/api/cdyne-sms-notify,Text," SMS Notify! gives you the power to send and receive customized automated SMS text messages locally, nationally and world-wide through a web service call. Connect to your app, software or any device..."
36, CDYNE Postal Address Verification API,https://www.programmableweb.com/api/cdyne-postal-address-verification,Postal," PAV is a business solution that reduces mail costs by standardizing, correcting, validating and CASS certifying U.S. and Canadian addresses. By incorporating CDYNE’s API into your database or..."
37, CDYNE Phone Verification API,https://www.programmableweb.com/api/cdyne-phone-verification,Voice," Using Phone Notify!, our customers have the power to deliver personalized, prerecorded WAV voice or one of our two award-winning text-to-speech files at a rate of up to 12,000 calls per minute. CDYNE..."
38, CDYNE IP2Geo API,https://www.programmableweb.com/api/cdyne-ip2geo,Mapping," Customize your website and detect possible fraud with IP2Geo® from CDYNE. Our real-time solution gives you the ability to customize website content to the browser’s location. In addition, you can..."
39, CDYNE Demographics API,https://www.programmableweb.com/api/cdyne-demographics,Reference," Utilize this XML Web Service to return neighborhood-level data at point of entry or in batches run from user systems. CDYNE Demographics, a full-featured statistical resource, instantaneously returns..."
40, Intel Connection API,https://www.programmableweb.com/api/intel-connection,Tools, The Intel Connection Web API provides web developers with JavaScript access to information about the device's connection state. JavaScript SDK and Sample Code available.
41, Intel Power Web API,https://www.programmableweb.com/api/intel-power-web,Tools," The Intel Power Web API provides a web app with JavaScript access to information about the devices power and battery state. For instance, in combination with other information about the device, a web..."
42, Pdfcrowd API,https://www.programmableweb.com/api/pdfcrowd,Office, The API lets users create PDF from web pages or raw HTML code. Pdfcrowd lets users convert web pages or uploaded HTML files directly in their web browser. Users can also edit HTML documents using an...
43, Stickybits API,https://www.programmableweb.com/api/stickybits,Other," The Stickybits API enables developers to write and read bits to any code (barcode, QR code, etc). Stickybits is a platform that enables anybody to build applications that connect the digital and..."
44, CentralDesktop API,https://www.programmableweb.com/api/centraldesktop,Enterprise," Central Desktop is an online collaboration software and Sharepoint Alternative for businesses. The Central Desktop API is available to Company, Community and Enterprise Plan Subscribers Only. The API..."
45, Mezeo Cloud Storage Platform API,https://www.programmableweb.com/api/mezeo-cloud-storage-platform,Storage," Mezeoï¿½s Cloud Storage Platform exposes storage with a RESTful API that allows developers to store, organize, share and publish content as well as supporting rich meta-data. Mezeo Cloud Storage..."
46, Zeo Sleep Measurement API,https://www.programmableweb.com/api/zeo-sleep-measurement,Other, The Zeo API is a set of web services that allow third parties to develop applications that allow users full access to their individual sleep records. A set of operations is provided using HTTP and...
47, SitePal Server API,https://www.programmableweb.com/api/sitepal-server,Other," SitePal is a service that allows users to create a speaking avatar for their website and empower online communication. This API allows users to remotely manage users' accounts, avatars, media assets..."
48, SMS Everywhere Messaging API,https://www.programmableweb.com/api/sms-everywhere-messaging,Messaging," The SMS Everywhere Messaging API allows developers to create their own messaging applications with the language of their choice. To send a message, data is posted over HTTP to SMS Everywhere Servers..."
49, NakdReality API,https://www.programmableweb.com/api/nakdreality,Tools," NakdReality is a new location search service which allows anyone to quickly create their own location-based or augmented-reality search, without having to hire specialist developers. We offer a point..."
50, Plastyc API,https://www.programmableweb.com/api/plastyc,Payments, The Plastyc API allows businesses to enroll people into prepaid cards from their website or phone systems. Plastyc provides payment and money management services to anyone with Internet access...
51, Desktopify API,https://www.programmableweb.com/api/desktopify,Widgets," Desktopify API allows you to make desktop widgets for Windows XP, Vista, 7 and Mac OS from any web content."
52, MyNewsdesk API,https://www.programmableweb.com/api/mynewsdesk,News Services," MyNewsdesk.com API Platform offers structured press information from over 10,000 Nordic and UK-companies. Current information types are press release, news, blogs, pictures, videos, documents,..."
53, Freelancer API,https://www.programmableweb.com/api/freelancer,Tasks," The Freelancer API allows software to send complex tasks to humans, retrieve the results, and pay for the completed work. It provides a way for users to access public information on Freelancer.com..."
54, Associated Press API,https://www.programmableweb.com/api/associated-press,News Services," The Associated Press, the world's oldest and largest newsgathering organization, has an API that enables developers to build applications incorporating data from the Associated Press's expansive..."
55, NuMaps API,https://www.programmableweb.com/api/numaps,Mapping," From the website: ""The NuMaps mapping service (Nuserv) API encapsulates an OGC1 compliant Web Map Service (WMS) and enhances it with numaps own request extensions. These requests and associated..."
56, Osmek API,https://www.programmableweb.com/api/osmek,Content Management," Osmek is a web publishing system hosted in the cloud. It separates the content from everything else, so that your site can be used in a number of ways. Its API lets you retrieve your content where..."
57, SuperTweet.net API,https://www.programmableweb.com/api/supertweetnet,Social, The SuperTweet.net API provides a means to take advantage of Twitter's OAuth authentication technology without the cost and complexity of OAuth in your simple tweeting applications.
58, Bill.com API,https://www.programmableweb.com/api/billcom,Financial, Bill.com is designed to help ease the process of bill management and payments. The Bill.com API is design your functionality by building new applications like: Integrate and add new features to your...
59, Drumbone API,https://www.programmableweb.com/api/drumbone,Government," From the site: ""Drumbone is a RESTful JSON API over data about legislators, bills, and roll call votes. Unlike the Sunlight Labs Congress API, all data is taken from existing APIs and data sources (..."
60, Custom Toll Free Search API,https://www.programmableweb.com/api/custom-toll-free-search,Telephony," Custom Toll Free's toll free number search has the ability to return vanities using an English language dictionary and an algorithm to rank the results and return the top vanity matches.
When a..."
61, smsways API,https://www.programmableweb.com/api/smsways,Messaging," smsways is a Greek SMS provider and the smsways SOAP and HTTP API provide programmatic access to smsways features and services. Developers can build custom applications, tools, and services that..."
62, hbookmark API,https://www.programmableweb.com/api/hbookmark,Bookmarks, hbookmark is a way to archive and sort links via twitter. The purpose of the hbookmark API is to expose hbookmark's functionalities through HTTP-based GET requests. The API supports the following...
63, LogicBoxes API,https://www.programmableweb.com/api/logicboxes,Hosting, The LogicBoxes API is a full-control set of programming interfaces that developers and resellers to create Website and Control Panels and integrate them into LogicBoxes OrderBox. LogicBoxes OrderBox...
64, OpenAddresses GeoLocated Address Search API,https://www.programmableweb.com/api/openaddresses-geolocated-address-search,Mapping, OpenAddresses is a web portail for the management of Open Source worldwide localized postal addresses. The API uses a RESTful interface and responses are formatted as either JSON or CSV.
65, Windows Azure Service Management API,https://www.programmableweb.com/api/windows-azure-service-management,Cloud," The Windows Azure Service Management API is a REST API for managing your services and deployments.Windows Azure is the cloud services operating system that serves as the development, service hosting..."
66, Airbana API,https://www.programmableweb.com/api/airbana,Other," The Airbana database contains information about Airsoft Skirmish and Retail sites globally and also event listings, live weather reports, live pricing information. From Wikipedia: Airsoft is a a..."
67, Recipe Puppy API,https://www.programmableweb.com/api/recipe-puppy,Food," The Recipe Puppy is an ingredient based recipe search engine. The Recipe Puppy API gives developers access to a database of over a million recipes, searching by ingredient or keyword. Access is..."
68, Terremark vCloud Express API,https://www.programmableweb.com/api/terremark-vcloud-express,Cloud," The Terremark vCloud Express API provides secure RESTful access to many of the features and functions available within the Terremark My Cloud User Interface.
The RESTful API is compatible with most..."
69, Hosting.com VMware vCloud Express API,https://www.programmableweb.com/api/hostingcom-vmware-vcloud-express,Hosting," As an HMS customer, the vCloud Express REST API allows you to browse your virtual infrastructure. Hosting.com provides enterprise colocation, cloud computing, dedicated hosting, managed hosting,..."
70, QR-Server QR Code API,https://www.programmableweb.com/api/qr-server-qr-code,Application Development," With our QR Code API, you can use RESTful calls to
- create QR Codes:
No need to register, free of charge (for commercial usage as well, though we recommend our Premium Services for professional..."
71, Smarkets API,https://www.programmableweb.com/api/smarkets,Other," The Smartkets API allows users to get live prices for any of our political markets in either JSON or XML. Smartkets is a prediction market that provied a social way to bet on sport, TV shows and..."
72, buy.at API,https://www.programmableweb.com/api/buyat,eCommerce," The buy.at API allows users to integrate the buy.at technology to help with accurate real-time reporting covering all the necessary areas, including sales, clicks, and affiliate performance. buy.at..."
73, Liberty Data API,https://www.programmableweb.com/api/liberty-data,Security, The XML-based LIBERTYData.net web service that lets developers integrate their real-time data. LIBERTYData.net is a provider of identity verification and risk management tools for banking...
74, babyTEL Telephone API,https://www.programmableweb.com/api/babytel-telephone,Telephony," Telephone is a VOIP system developed by babyTEL for social networks. The Telephone API allows 3rd party developers to access Telephone's features, and enable them in to their social site. The..."
75, Zencoder API,https://www.programmableweb.com/api/zencoder,Video," Web-based encoding software as a service, designed to quickly convert any video into web and mobile compatible formats. The platform can perform fast encoding and can handle unusual or corrupt files..."
76, Unlock API,https://www.programmableweb.com/api/unlock,Search," Unlock places is a digital gazetteer service. Given a place name, it will return a geographic location and a suggested type for the place. Look up a name with a simple HTTP GET request. Get back the..."
77, OpenCrypt Video Conversion dupe API,https://www.programmableweb.com/api/opencrypt-video-conversion-dupe,Video, The OpenCrypt Video Conversion API is designed to allow you to transcode/convert video you have uploaded to your server into Flash Video format suitable for displaying on your site with an embedded...
78, SCORM Cloud API,https://www.programmableweb.com/api/scorm-cloud,Education, The Shareable Content Object Reference Model(SCORM) defines a specific way of constructing Learning Management Systems and training content so that they work well with other SCORM conformant systems...
79, NewHaze API,https://www.programmableweb.com/api/newhaze,Games, The NewHaze API enables websites to be able to add games from the library to their websites. NewHaze is a gaming website providing you with every single flash game on the internet. The API can also...
80, RunSaturday API,https://www.programmableweb.com/api/runsaturday,Sports," RunSaturday is a website designed to assist you in achieving your training, exercise and fitness goals, whether that be a new personal best time in a half marathon, losing some weight, or just..."
81, Factery API,https://www.programmableweb.com/api/factery,Search," Factery has developed FactRank technology to mine real-time feeds and web content for the purpose of providing simple, short answers to user queries. You decide the sources to use. You can search..."
82, Globedia API,https://www.programmableweb.com/api/globedia,News Services," The Globedia API enables users to access the news generated by our users, with which you can include all the latest news on any topic of interest in your web projects. All news are available in XML..."
83, Geomena API,https://www.programmableweb.com/api/geomena,Other," Geomena is an open geo database of WiFi access points meant to be used for geolocation. The database is as open as Wikipedia, editable and downloadable by anyone to use however they want. The API..."
84, Wordstream Keyword Niche Finder API,https://www.programmableweb.com/api/wordstream-keyword-niche-finder,Search, The Keyword Niche Finder is a tool that returns structured keyword suggestions rather than a disorganized list. Using this keyword API will allow your users to obtain similar results to the Free...
85, SeeClickFix API,https://www.programmableweb.com/api/seeclickfix,Government," SeeClickFix allows anyone to report and track non-emergency issues anywhere in the world via the internet. This empowers citizens, community groups, media organizations and governments to take care..."
86, Xtify API,https://www.programmableweb.com/api/xtify-0,Telephony," Xtify has developed a unique push notifications platform, allowing developers to deliver push and location-triggered messages directly to their usersï¿½ devices using our SDK and messaging engine ï¿½..."
87, Sony Ericsson Track ID API,https://www.programmableweb.com/api/sony-ericsson-track-id,Music, The TrackID web service API provides access to location-enabled music charts and is part of the Sony Ericsson OpenAPI program. This API will allow application developers to adapt and combine this...
88, Penolo API,https://www.programmableweb.com/api/penolo,Social," Penolo is a tool for you to create sketches and share them on Twitter. The Penolo REST API currently supports a limited number of read-only features: getting sketches by tag, by person, all sketches..."
89, CycleStreets API,https://www.programmableweb.com/api/cyclestreets,Sports," CycleStreets is a UK-wide cycle journey planner system, which lets you plan routes from A to B by bike. It is designed by cyclists, for cyclists, and caters for the needs of less both confident and..."
90, Popfax API,https://www.programmableweb.com/api/popfax,Fax," The Popfax Machine-to-Machine API supports SM, voice mail, fax sending and receiving functions for registered end users, moreover it offers a super user set of functions enabling third party..."
91, Morpher API,https://www.programmableweb.com/api/morpher,Language," Performs declension and pluralization for Russian and Ukrainian names and common words and phrases, including geographical names. Useful for text generation and software/website localization for..."
92, NileGuide API,https://www.programmableweb.com/api/nileguide,Travel," NileGuide is a resource to research and plan your next trip. On NileGuide, travelers can discover what they’re looking for on their vacation from small hotels in Seattle or hole-in-the-wall pubs in..."
93, Agent Storm API,https://www.programmableweb.com/api/agent-storm,Real Estate," The Agent Storm API is a Real Estate Management System which is interoperable with the leading real estate systems on the market. API will facilitate import, export and integration with third party..."
94, openfooty API,https://www.programmableweb.com/api/openfooty,Sports," Openfooty offers the latest football (soccer) videos, a community, a proprietary dreamfooty fantasy football game, user profiles, and fan traits and fan valuation leaderboards. The openfooty API..."
95, SnapFish Publisher API,https://www.programmableweb.com/api/snapfish-publisher,Photos," Snapfish Publisher will allow designers, developers and printing partners to reach more than 85 million registered users through the worldwide Snapfish network, while delighting new and existing..."
96, SFR MMS API,https://www.programmableweb.com/api/sfr-mms,Messaging, The SFR MMS service allows sending an MMS with an attachment from your application. The attachment sent via MMS API Service is encoded in multipart format. Sending MMS from your application to mobile...
97, SFR SMS API,https://www.programmableweb.com/api/sfr-sms,Messaging," The SFR SMS API allows users to send and receive SMS. This service allows: sending SMS Text, sending SMS wap push including a url, sending SMS binary, sending SMS concatenated (over 180 characters)..."
98, Offerpal API,https://www.programmableweb.com/api/offerpal,Financial," Offerpal Media is the leader in virtual currency monetization for online games, virtual worlds and social networks. The companyï¿½s turnkey payment platform gives consumers the opportunity to earn or..."
99, Super Rewards API,https://www.programmableweb.com/api/super-rewards,Financial," Using the JSON API, publishers with dynamic applications can create highly customized user experiences. Super Rewards provides a virtual currency monetization platform for social publishers and..."
100, California Race and Ethnic Population Projections API,https://www.programmableweb.com/api/california-race-and-ethnic-population-projections,Government," California State Dept of Finance - Demographic Data on
California Race / Ethnic Population. Projections are available by county and year covering the years 2000-2050.
Note: this data set is..."
101, SAP StreamWork Integration API,https://www.programmableweb.com/api/sap-streamwork-integration,Enterprise, SAP StreamWork is an on-demand application that brings together people inside or outside your organization with information for fact-based decision-making and interactive business tools for...
102, Urban Airship API,https://www.programmableweb.com/api/urban-airship,Messaging," Urban Airship's Push, now fully functional for the iPhone and BlackBerry platforms, lets you increase your engagement with customers, enhance your brand, and create a recurring revenue stream...."
103, Wormly API,https://www.programmableweb.com/api/wormly,Monitoring, Wormly is an uptime and server monitoring service. They offer server monitoring that help users find out why their servers crash so they can solve the underlying problem. They use a technique known...
104, BetaEasy API,https://www.programmableweb.com/api/betaeasy,Feedback, BetaEasy API Callback API allows users to interact and “sync” their BetaEasy account with their own web sites and applications. Every time when any event happens on a user's BetaEasy forum (user_join...
105, Goslyudi.ru API,https://www.programmableweb.com/api/goslyudiru,Government," The Goslyudi.ru API provides several web methods to access it's ratings of russian government bloggers. Project GosLyudi ""was created for the promotion and standardization of blogging and..."
106, GenomeQuest API,https://www.programmableweb.com/api/genomequest,Other, GenomeQuest is the biological sequence data management platform - particularly useful for investigators using next generation sequencing technologies. Using the live version of GenomeQuest available...
107, Animoto API,https://www.programmableweb.com/api/animoto,Video," The Quickstart API enables the creation of Animoto video projects with content provided by partner websites and applications. With the Quickstart API, partners can send users to Animoto to create a..."
108, Buxter API,https://www.programmableweb.com/api/buxter,Payments, The Buxter Java API allows Facebook application developers to use the Buxter transaction webservice to monetize their Facebook applications. Buxter is ClickandBuy's Facebook application. With Buxter...
109, ActiveCampaign API,https://www.programmableweb.com/api/activecampaign,Email," The ActiveCampaign REST API allows developers to access and integrate the functionality of ActiveCampaign with other applications. Some example API methods include managing account connections,..."
110, Wordy API,https://www.programmableweb.com/api/wordy,Other," With Wordy you can publish with confidence. Wordy provides you a standardized editing service including checking grammar, spelling, punctuation and structure. The Wordy API allows developers to..."
111, iWantMyName Domain and DNS API,https://www.programmableweb.com/api/iwantmyname-domain-and-dns,Domains, The iWantMyName Domain and DNS API provides a DDNS interface to use a domain with routers. Developers can use login credentials via BasicAuth to send URI Query String/CRUD requests.
112, Mood of the Nation API,https://www.programmableweb.com/api/mood-nation-0,Social," Mood of the Nation provides insight into the various trends on their iPhone application users. There are over 20 countries represented in the data sets, and their results can be adjusted to hourly,..."
113, Intersect API,https://www.programmableweb.com/api/intersect,Social, Intersect is a Google Chrome extension that lets you see users who mutually follow you and another user on Twitter. The API uses a RESTful interface and responses are formatted in JSON. The simple...
114, DocVerify API,https://www.programmableweb.com/api/docverify,Enterprise," DocVerify offers an API which enables E-Signatures and the sending, receiving, and sharing of E-Vault PDFs through your own website or applications. DocVerify allows for E-Signatures over the web or..."
115, smartRealm SNAP API,https://www.programmableweb.com/api/smartrealm-snap,Social," As a developer, you can use the SNAP API to submit a social graph to the smartRealm web service and receive scores for the individuals in the graph. The smartRealm SNAP (Social Network Authority and..."
116, Data8 Country Detection API,https://www.programmableweb.com/api/data8-country-detection,Other, Data8's Country Detection service quickly identifies a country from an address (and optionally email and telephone number). The API allows you to get a correctly formatted country name without...
117, Qhub API,https://www.programmableweb.com/api/qhub,Q&A, Ask and answer questions on your own Q...
118, WiseTrend OCR API,https://www.programmableweb.com/api/wisetrend-ocr,OCR," OCR Cloud 2.0 API provides Optical Character Recognition (OCR) functionality on demand using the award-winning ABBYY OCR engine on the back-end, providing superior recognition for even low-quality..."
119, The Easy API,https://www.programmableweb.com/api/easy-api,Tools, The Easy API is one of the fastest growing API services out there. We offer a service that allows you to use multiple API's without having to code for the specific interfaces. An example would be...
120, Guardian Politics API,https://www.programmableweb.com/api/guardian-politics,Government," The Guardian Politics API covers information about politicians and elections in the UK, with many details going back to 1992. It also contains limited older data, as far back as 1945. Get information..."
121, SmartTurn API,https://www.programmableweb.com/api/smartturn,Enterprise, SmartTurn is an inventory management software system that increases visibility and control of all inventory management processes. SmartTurn web services provide a way to automatically share data...
122, O&#039;Reilly Product Metadata Interface API,https://www.programmableweb.com/api/oreilly-product-metadata-interface,Reference," This experimental O'Reilly Product Metadata Interface (OPMI) exposes RDF for all of O'Reilly's titles, organized by ISBN. The OPMI is a REST API and supports the following data formats: XML, RDF,..."
123, Speek API,https://www.programmableweb.com/api/speek,Telephony," Speek is a free Web-based teleconferencing system that dials out to cell phones, landlines, and voice-over-Internet applications like Skype and GoogleTalk. The Speek REST API allows users to empower..."
124, Prefinery API,https://www.programmableweb.com/api/prefinery,Other, Prefinery is a beta program invitation and management service for web apps and desktop software. The Prefinery API is implemented as XML over HTTP using all four verbs (GET/POST/PUT/DELETE). Every...
125, PrivatBank API,https://www.programmableweb.com/api/privatbank,Financial," PrivatBank is the largest commercial bank in Ukraine. It offers a RESTful API that can connect any internet services, kiosks and software to their payment services and databases. SSL is supported and..."
126, Twiddla API,https://www.programmableweb.com/api/twiddla,Other, Twiddla is a real-time online collaboration tool. Twiddla's API lets users host Twiddla meetings on their own website. Users can create new meetings on the fly and embed them into any page they like...
127, Fasthosts Reseller Hosting API,https://www.programmableweb.com/api/fasthosts-reseller-hosting,Hosting," Fasthosts is a UK based web host providing online services to the home, home office and SME markets. The Reseller Hosting API allows users to integrate the functionality of their Reseller hosting..."
128, Open Context API,https://www.programmableweb.com/api/open-context,Education," Open Context is a free, open access resource for the electronic publication of primary field research from archaeology, museum collections, and other field science datasets. Open Context provides a..."
129, AddToAny Menu API,https://www.programmableweb.com/api/addtoany-menu,Social," The AddToAny API is a sharing tool that allows users to share and bookmark content with a single sharing button. The API interacts with an SDK and it uses JavaScript sample codes to share URL,..."
130, ODP Search API,https://www.programmableweb.com/api/odp-search,News Services, ODP is a Chinese site that provides search and aggregation of top journals and articles for a variety of subjects. The search API allows users to display site search results into their site or...
131, Adeptol CloudConnect API,https://www.programmableweb.com/api/adeptol-cloudconnect,Tools," Adeptol provides an on-demand viewer that supports more than 300 document types which includes Office documents, Open Office, PDF, Images, AutoCAD files etc. The RESTful API allows users to link..."
132, German Bank Code Service API,https://www.programmableweb.com/api/german-bank-code-service,Financial, BLZService is a simple German Banking Code lookup service. It uses SOAP protocol and responses are formatted in XML. The is little documentation aside from the WSDL. The main site is in German.
133, Hitmeister API,https://www.programmableweb.com/api/hitmeister,eCommerce," Hitmeister is an online German marketplace for games, DVDs, books, CDs and electronics. The API uses RESTful calls to allow users to access information such as title, best price, best price used,..."
134, Gimahhot Shopping API,https://www.programmableweb.com/api/gimahhot-shopping,eCommerce, Gimahhot is an online shopping platform on which brand products from many online stores are traded like on the stock exchange. The Gimahhot API allows for the automation of merchant connections to...
135, Shotbot API,https://www.programmableweb.com/api/shotbot,Images, Shotbot is a tool for webmasters to create a screenshot or thumbnail from any website. The Shotbot API allows users to integrate Shotbot with their site to automatically generate screenshots. The API...
136, SMS Action API,https://www.programmableweb.com/api/sms-action,Messaging, SMS Action allows users to automatically send and receive SMS messages from their website or internet application. The API uses both XML and SOAP protocols and responses are in XML. The site is in...
137, Zoho Invoice API,https://www.programmableweb.com/api/zoho-invoice,Financial," Zoho Invoice provides an API using which you can integrate your data on Zoho with any of your existing applications such as invoice applications for mobiles, timesheet application, ticketing system...."
138, IPInfoDB Timezone API,https://www.programmableweb.com/api/ipinfodb-timezone,Mapping, IPInfoDB is a free IP address geolocation tool. This API allows developers to get current GMT offset for a specific country and region. Timezone database in SQL format associated with world countries...
139, Bitacoras.com API,https://www.programmableweb.com/api/bitacorascom,Blogging," Bitacoras.com is the largest social network for bloggers that exists in Spanish with over 250,000 users. The system collects information from thousands of blogs and organizes, catalogs and..."
140, 2Checkout API,https://www.programmableweb.com/api/2checkout,eCommerce," 2Checkout.com provides turnkey e-commerce solutions to thousands of business customers around the world. 2CO supports back-office functions including financial reporting, tracking, fraud prevention,..."
141, Hathi Trust Data Distribution API,https://www.programmableweb.com/api/hathi-trust-data-distribution,Reference," The Hathi Trust API returns bibliographic, copyright, and volume information (including permanent URLs) when queried with a variety of standard identifiers (e.g., ISBN, LCCN, OCLC, etc.). The API has..."
142, PivotalTracker API,https://www.programmableweb.com/api/pivotaltracker,Project Management," Pivotal Tracker is a free, agile project management tool that enables real time collaboration around a shared, prioritized backlog. Tracker provides an API that can be used to create, retrieve,..."
